Sr No.,Date,Reference No.,Department,Procurement Requisition By,Procurement Approved By,Last Approver Date,Vendor Name,Vendor Code,Vendor Type,Product Details,Bill No,Amount,GST,TDS,Total,Status,Payment Type,Remarks,Payment Month,Payment Date,Asset Tagging Code,Tat
11,9/1/2025,EN/AD/25-0002,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,9/1/2025,Track On (SR International),EN/24/B/0005,Courier,Courier from 01/11/2024 - 31/12/2024,9,9300,-,,9300,Paid,EN-IMPS,,January,9/1/2025,,
12,10/1/2025,EN/AD/25-0003,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+ShantanuKuchya,13/1/2025,Internal Reimbursement,-,-,Reimbursement,-,14846,-,,14846,Paid,EN-IMPS,,January,17/1/2025,,
13,11/1/2025,EN/AD/25-0004,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+OnkarAvinash,11/1/2025,Work India (Eloquent Sol Pvt ltd),EN/24/A/0002,Subscription,Job posting,012025/000917006,3564.41,641.59,,4206,Paid,EN-IMPS,,January,11/1/2025,,
14,11/1/2025,EN/AD/25-0005,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+ShantanuKuchya,13/1/2025,Laxmi Stationery,EN/24/D/0004,Stationery,"Xerox, Colour Print & Scan, Gift Papers",S0001446,16816,1619.1,,18435.1,Paid,EN-IMPS,,January,17/1/2025,,
15,11/1/2025,EN/AD/25-0006,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+OnkarAvinash,11/1/2025,Ambika Stationey & Xerox,EN/24/C/0003,Stationery,"Xerox, Colour Print & Scan, Gift Papers",365/FY2425,2398,270,,2668,Paid,EN-IMPS,,January,17/1/2025,,
16,11/4/2025,EN/AD/25-0007,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,12/4/2025,Serve HR Pvt Ltd,EN/24/A/0022,Service,Professional fees - HR Compliance,25-26/SHPL106,33000,5940,,16170,Paid,EN-IMPS,"Vendor to be discontinued, paid 50%",April,14/4/2025,,
17,16/1/2025,EN/AD/25-0008,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,16/1/2025,ION,EN/24/A/0001,Internet Service,Subscription,250127MH00029284,10338.98,1861.02,,12200,Paid,EN-IMPS,,January,16/1/2025,,
18,16/1/2025,EN/AD/25-0009,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+HrushikeshMindhe,17/1/2025,Go Daddy,EN/24/B/0025,Subscription,Domain renewal www.envisionnext.co.in,3535437509,1338,,,1338,Paid,EN-IMPS,Payment made through website,January,20/1/2025,,
19,17/1/2025,EN/AD/25-0010,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+HrushikeshMindhe,17/1/2025,Internal Reimbursement,-,-,Reimbursement,-,4815.36,-,,4815.36,Paid,EN-IMPS,,January,17/1/2025,,
20,20/1/2025,EN/AD/25-0011,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+OnkarAvinash+ShantanuKuchya,20/1/2025,ION,EN/24/A/0001,Internet Service,Subscription,250127MH00037627,10338.98,1861.02,,12200,Paid,EN-IMPS,,January,20/1/2025,,
21,20/1/2025,EN/AD/25-0012,Envision Next,Adv Parth Chande,ShivanshuTripathi+ParthChande+ShantanuKuchya,21/1/2025,Unique Publicity,EN/24/A/0014,Consulting,Consultancy Fees,1295,7208,360,,7568,Paid,EN-IMPS,TDS deduction of 1%,January,21/1/2025,,
22,21/1/2025,EN/AD/25-0013,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,23/1/2025,Mappr Hospitality Pvt Ltd,-,Annual Trip,Full Campsite (Karjat - Shelu) 60 people for 1 Night,24-25/0012,180000,21600,,201600,Paid,EN-IMPS,TDS deduction of 1%,January,21/1/2025,,
23,24/1/2025,EN/AD/25-0014,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,29/1/2025,Airtel Mobile Service,,Mobility,Monthly bill,BM2527I015829400,11195.55,2015.2,,13210.75,Paid,EN-TPW,,January,30/1/2025,,
24,24/1/2025,EN/AD/25-0015,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+OnkarAvinash+RutujaNarsingh,24/1/2025,Medha Cloud,EN/24/A/0009,Subscription,1 Microsoft 365 Business Basic,13845,1740,313.2,,2053.2,Paid,EN-IMPS,,January,30/1/2025,,
25,24/1/2025,EN/AD/25-0016,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+ParthChande+ShantanuKuchya,29/1/2025,Unique Publicity,EN/24/A/0014,Consulting,Consultancy Fees,1343,6080,304,,6384,Paid,EN-IMPS,,January,30/1/2025,,
26,25/1/2025,EN/AD/25-0017,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,29/1/2025,Asha Enterprises,EN/24/D/0001,Housekeeping,Housekeeping supplies,-,4934,,,4934,Paid,EN-IMPS,,January,30/1/2025,,
27,28/1/2025,EN/AD/25-0019,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,29/1/2025,Internal Reimbursement,-,-,Reimbursement,-,7156,-,,7156,Paid,EN-IMPS,,January,30/1/2025,,
28,28/1/2025,EN/AD/25-0020,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+,,Option Print,EN/24/D/0011,Printing,Letterheads,,4800,-,,4800,Unpaid,,,,,,
29,28/1/2025,EN/AD/25-0021,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+ParthChande+RutujaNarsingh,28/1/2025,Computer Plus,EN/25/A/0001,IT,SSD upgrade,CP/24-25/11361,3983.06,716.96,,4700.02,Paid,EN-IMPS,,January,30/1/2025,,
30,28/1/2025,EN/AD/25-0022,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,29/1/2025,R&R,EN/24/D/0013,Amazon,E-voucher for winners,-,13500,,,8500,Paid,EN-TPW,,February,6/2/2025,,
31,28/1/2025,EN/AD/25-0023,Envision Next,Adv Parth Chande,ShivanshuTripathi+ParthChande+RutujaNarsingh,7/2/2025,Sandeep Gaikwad,EN/24/B/0026,Consulting,Consultancy Fees,-,3250,,,3250,Paid,EN-IMPS,,February,7/2/2025,,
32,29/1/2025,EN/AD/25-0024,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+ShantanuKuchya,28/2/2025,LifeBox Technologies Pvt Ltd,EN/24/A/0020,Service,Health Insurance,LTPL/2024-25/027 & 026 & 033,45514.24,8192.56,,53706.8,Paid,EN-IMPS,TDS deduction of 2%,February,28/2/2025,,
33,29/1/2025,EN/AD/25-0025,Envision Next,CA Rutuja Narsingh,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,31/1/2025,M/s Pranav Bhaskaran & Associates,EN/24/B/0030,Consulting,Certification Fees,2024-25/EN02,23000,4140,,27140,Paid,EN-IMPS,TDS deduction of Rs.2600,January,31/1/2025,,
34,29/1/2025,EN/AD/25-0026,Envision Next,Vedant Atawane,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,29/1/2025,Riddhi Enterprises,EN/24/C/0032,Housekeeping,Housekeeping supplies,S0001732,3215.4,515.36,,3730.76,Paid,NEFT- Cheque,,January,31/1/2025,,
35,3/2/2025,EN/AD/25-0027,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+HrushikeshMindhe,7/2/2025,Internal Reimbursement,-,-,Reimbursement,-,7164,-, ,7164,Paid,EN-IMPS,,February,7/2/2025,,
36,5/2/2025,EN/AD/25-0028,Envision Next,Shivanshu Tripathi,AnkitKamble+RutujaNarsingh+ShantanuKuchya+VedantAtawane,7/2/2025,PB Associates,EN/24/B/0022,Certification,Fees,23,16000,-,1600,14400,Paid,EN-IMPS,,February,7/2/2025,,
37,7/2/2025,EN/AD/25-0029,Envision Next,Ankit Kamble,AnkitKamble+RutujaNarsingh+HrushikeshMindhe,7/2/2025,Digital Infotech,EN/24/B/0003,Service,Online & Onsite IT Service,DIGI25-104,1200,-,,1200,Paid,EN-IMPS,,February,7/2/2025,,
38,12/2/2025,EN/AD/25-0030,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,14/2/2025,Shreya Enterprises,EN/24/D/0005,Stationery,Xerox and scans,-,7695,-,,7695,Paid,EN-IMPS,,February,14/2/2025,,
39,12/2/2025,EN/AD/25-0031,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,14/2/2025,Laxmi Stationery,EN/24/D/0004,Stationery,"Card Printing, Folder & Tissues",-,3854,-,,3854,Paid,EN-IMPS,,February,14/2/2025,,
40,12/2/2025,EN/AD/25-0032,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,14/2/2025,Reimbursement,-,-,Reimbursement,-,14848,-,,14848,Paid,EN-IMPS,,February,14/2/2025,,
41,13/2/2025,EN/AD/25-0033,Envision Next,Vedant Atawane,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,14/2/2025,PB Associates,EN/24/B/0022,Certification,Fees,24,21000,,,21000,Paid,EN-IMPS,TDS deduction,February,14/2/2025,,
42,14/2/2025,EN/AD/25-0034,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,14/2/2025,iSeenLab Technology Pvt Ltd,EN/25/A/0001,Web Hosting,reraeasy.com,964467,4065.88,731.86,,4797.74,Paid,EN-TPW,,February,14/2/2025,,
43,14/2/2025,EN/AD/25-0035,Envision Next,CA Rutuja Narsingh,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,14/2/2025,Vikas Abhang & Associates,EN/24/B/0034,Fees,Professional Fees,19,23000,-,2300,20700,Paid,EN-IMPS,TDS deduction of 10%,February,17/2/2025,,
44,14/2/2025,EN/AD/25-0036,Envision Next,CA Rutuja Narsingh,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,14/2/2025,Vikas Abhang & Associates,EN/24/B/0034,Fees,Professional Fees,20,10000,-,,10000,Paid,ENFS- online,TDS not deducted,February,25/2/2025,,
45,17/2/2025,EN/AD/25-0037,Envision Next,Adv Shantanu Kuchya,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,17/2/2025,Life Designer Pvt Ltd,EN/24/A/0027,Service,TRET website development,INV/2025/00032,50000,9000,5000,54000,Paid,NEFT- Cheque,TDS deduction of 5000,February,17/2/2025,,
46,17/2/2025,EN/AD/25-0038,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,19/2/2025,Go Daddy,EN/24/B/0025,Subscription,"New Domain: tretnews.com, tret.news & therealestatenews.in",3479663153,2881.48,30.24,-,2911.72,Paid,EN-TPW,,February,19/2/2025,,
47,20/2/2025,EN/AD/25-0039,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+HrushikeshMindhe,24/2/2025,Shivam Computer Stationery,EN/24/C/0027,Stationery,"70GSM A4 papers, envelopes, etc.",16942/24-25,6965,893.7,,7858.7,Paid,NEFT- Cheque,,February,28/2/2025,,
48,21/2/2025,EN/AD/25-0040,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,21/2/2025,Google,EN/25/A/0002,Service,Renewal of subscription- 2TB,-,550.85,99.15,,650,Paid,EN-DC,,February,21/2/2025,,
49,21/2/2025,EN/AD/25-0041,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+HrushikeshMindhe,24/2/2025,Raj AC & Refrigeration,EN/25/A/0003,Service,AC servicing + Gas top up,169,7000,1260,,8260,Paid,EN-IMPS,,February,25/2/2025,,
50,24/2/2025,EN/AD/25-0042,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,24/2/2025,Aisensy,EN/25/C/0004,Subscription,Whatsapp Marketing for reraeasy,20419044,1000,180,,1180,Paid,EN-DC,,February,24/2/2025,,
51,25/2/2025,EN/AD/25-0043,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,25/2/2025,LinkedIn,EN/24/A/0019,Subscription,LinkedIn Business Plan,51974277898,1694.07,,,1694.07,Paid,UPI,"Paid by Shivanshu, reimbursed through Shivaji",February,25/2/2025,,
52,25/2/2025,EN/AD/25-0044,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,25/2/2025,Option Print,EN/25/C/0005,Printing,Rera Easy bags for book delivery,OP/1203/24-25,16250,2925,,19175,Paid,EN-IMPS,,February,25/2/2025,,
53,7/4/2025,EN/AD/25-0045,Envision Next,Saloni Kanekar,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,12/4/2025,Ananya Kaushik,EN/24/B/0020,Service,Software Consultancy - December 2024,,26840,,,26840,Unpaid,,,April,,,
54,25/2/2025,EN/AD/25-0046,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,25/2/2025,Aisensy,EN/25/C/0004,Subscription,Whatsapp Marketing for reraeasy,20419623,8000,1440,,9440,Paid,EN-DC,,February,25/2/2025,,
55,1/3/2025,EN/AD/25-0047,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,10/3/2025,Computer Plus,EN/25/A/0006,IT,"5 Wired & Wireless mouse, Wireless Mouse & Keyboard set, Acer monitor",CP/24-25/12383,12457.67,2242.4,,14700.07,Paid,EN-IMPS,,March,11/3/2025,,
56,1/3/2025,EN/AD/25-0048,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+RutujaNarsingh,10/3/2025,Ambika Stationey & Xerox,EN/24/C/0003,Stationery,"Xerox, Colour Prints, Scans, etc.",464/FY2425,2423,347.76,,2770.76,Paid,EN-IMPS,,March,11/3/2025,,
57,3/3/2025,EN/AD/25-0049,Envision Next,Vedant Atawane,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,10/3/2025,Monthly Reimbursement,-,-,25k each to Shivanshu and Vedant to fulfil monthly reimburse needs,-,50000,,,50000,Paid,EN-IMPS,,March,11/3/2025,,
58,3/3/2025,EN/AD/25-0050,Envision Next,Rahul Jaiswal,ShivanshuTripathi+HrushikeshMindhe+ParthChande,3/3/2025,Go Daddy,EN/24/B/0025,Subscription,Hosting of new domain: tretnews.com,,5388,,,5388,Paid,EN-DC,,March,10/3/2025,,
59,4/3/2025,EN/AD/25-0051,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+RutujaNarsingh,10/3/2025,Aadya Enterprises,EN/24/A/003,CCD,Service and Maintenance,24-25/673,2000,360,,2360,Paid,EN-IMPS,,March,11/3/2025,,
60,5/3/2025,EN/AD/25-0052,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,10/3/2025,Track On (SR International),EN/24/B/0005,Courier,Courier services from 01/01/2025 to 28/02/2025,10,20660,,,20660,Paid,EN-IMPS,,March,11/3/2025,,
61,6/3/2025,EN/AD/25-0053,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,10/3/2025,Aisensy,EN/25/C/0004,Subscription,Whatsapp Marketing for reraeasy,-,9000,1620,,10620,Paid,EN-IMPS,whatsapp approval by Shantanu sir,March,11/3/2025,,
62,10/3/2025,EN/AD/25-0054,Envision Next,Vedant Atawane,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,18/3/2025,Sahil Jayesh Mahale,EN/25/B/0007,Fees,Professional Fees,2025/001,8000,,,8000,Paid,EN-IMPS,,March,21/3/2025,,
63,10/3/2025,EN/AD/25-0055,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+ShantanuKuchya,10/3/2025,Women's Day,-,-,Multiple payments were done through petty cash for celebration,-,10950,,,10950,Paid,UPI,This procurement was only made to ensure we keep the data in place,March,8/3/2025,,
64,10/3/2025,EN/AD/25-0056,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,18/3/2025,HR One,EN/24/A/0023,Service,Subscription of 3months for 73 employees & 1month for 6 employees,,24750,4455,,29205,Unpaid,,,March,,,
65,10/3/2025,EN/AD/25-0057,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,10/3/2025,Aisensy,EN/25/C/0004,Subscription,Whatsapp Marketing for console,20425473,2847.15,512.49,,3359.64,Paid,EN-DC,,March,10/3/2025,,
66,12/3/2025,EN/AD/25-0058,Envision Next,Soham Chandekar,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,12/3/2025,Life Designer Pvt Ltd,EN/24/A/0027,Service,Website closed revision,INV/2025/00041,6000,1080,,7080,Paid,EN-IMPS,TDS deduction @10%,March,13/3/2025,,
67,12/3/2025,EN/AD/25-0059,Envision Next,Girish Tribhuvan,ShivanshuTripathi+ParthChande+ShantanuKuchya,18/3/2025,Sandeep Gaikwad,EN/24/B/0026,Consulting,Consultancy Fees,-,3250,,,3250,Paid,EN-IMPS,,March,18/3/2025,,
68,17/3/2025,EN/AD/25-0060,Envision Next,CA Rutuja Narsingh,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,18/3/2025,Vikas Abhang & Associates,EN/24/B/0034,Fees,Professional Fees,23,4500,,,4500,Paid,ENFS- IMPS,,March,18/3/2025,,
69,17/3/2025,EN/AD/25-0061,Envision Next,CA Rutuja Narsingh,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,18/3/2025,Vikas Abhang & Associates,EN/24/B/0034,Fees,Professional Fees,22,9000,,,9000,Paid,EN-IMPS,,March,18/3/2025,,
70,17/3/2025,EN/AD/25-0062,Envision Next,Saloni Kanekar,ShivanshuTripathi+RutujaNarsingh+HrushikeshMindhe,18/3/2025,Medha Cloud,EN/24/A/0009,Subscription,Renewal of Microsoft ID operations@reraeasy.com,14022,770,138.6,,908.6,Paid,EN-IMPS,Fees TDS deduction,March,18/3/2025,,
71,17/3/2025,EN/AD/25-0063,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+HrushikeshMindhe,18/3/2025,Shreya Enterprises,EN/24/D/0005,Stationery,Scans,-,1246,,,1246,Paid,EN-IMPS,,March,18/3/2025,,
72,17/3/2025,EN/AD/25-0064,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,17/3/2025,LinkedIn,EN/24/A/0019,Subscription,LinkedIn premium page for Envision Next,51981739501,7067.79,1272.2,,8339.99,Paid,EN-DC,,March,18/3/2025,,
73,17/3/2025,EN/AD/25-0065,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,26/3/2025,Keka,EN/25/A/0008,Subscription,Subscription of 3 months for 90 employees + 1 recruitment,K11453-0001,32700,5886,,38586,Paid,EN-IMPS,,March,26/3/2025,,
74,17/3/2025,EN/AD/25-0066,Envision Next,Saloni Kanekar,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,18/3/2025,PB Associates,EN/24/B/0022,Certification,Fees,25,23000,,2300,20700,Paid,EN-IMPS,TDS deduction @10%,March,18/3/2025,,
75,17/3/2025,EN/AD/25-0067,Envision Next,Girish Tribhuvan,ShivanshuTripathi+ParthChande+ShantanuKuchya,11/4/2025,Unique Publicity,EN/24/A/0014,Consulting,Ms Hariom Buidlers and Developers,1445,6840,342,72,7110,Paid,EN-IMPS,TDS deduction @ 1%,April,12/4/2025,,
76,17/3/2025,EN/AD/25-0068,Envision Next,Girish Tribhuvan,ShivanshuTripathi+ParthChande+ShantanuKuchya,11/4/2025,Unique Publicity,EN/24/A/0014,Consulting,Ms Shelton Infra Project,1521,6080,304,63.84,6320.16,Paid,EN-IMPS,TDS deduction @ 1%,April,12/4/2025,,
77,21/3/2025,EN/AD/25-0069,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+ParthChande+RutujaNarsingh,21/3/2025,ION,EN/24/A/0001,Internet Service,Subscription,6045,8051,1449,,9500,Paid,EN-IMPS,,March,21/3/2025,,
78,28/3/2025,EN/AD/25-0070,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,28/3/2025,Momo photo editor,EN/25/A/0009,Photo Editor,Photo Edit for Hrushikesh sir,,584.75,105.25,,690,Paid,EN-IMPS,Reimbursed to Akash Bengale,April,7/4/2025,,
79,1/4/2025,EN/AD/25-0071,Envision Next,Vedant Atawane,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,1/4/2025,Ankit Choudhary,EN/25/B/0010,Fees,Professional Fees,ANK/24-25/32,13000,,,13000,Paid,EN-NEFT,,April,2/4/2025,,
80,2/4/2025,EN/AD/25-0072,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,7/4/2025,Computer Express,EN/25/A/0011,IT,Biometric intergration & Lenovo adapter,CX/25-26/001,8200,1476,,9676,Paid,EN- Cheque,,April,7/4/2025,,
81,2/4/2025,EN/AD/25-0073,Envision Next,Saloni Kanekar,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,11/4/2025,Sahil Jayesh Mahale,EN/25/B/0007,Fees,Professional Fees,2025/002,20000,,,20000,Paid,EN-IMPS,,April,12/4/2025,,
82,2/4/2025,EN/AD/25-0074,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+HrushikeshMindhe+RutujaNarsingh,7/4/2025,Shreya Enterprises + Laxmi Stationery,EN/24/D/0005,Stationery,"Scans, Prints, Photocopies, Tissue papers and pens",-,7573,,,7573,Paid,EN-IMPS,,April,7/4/2025,,
83,4/4/2025,EN/AD/25-0075,Envision Next,Rahul Jaiswal,ShivanshuTripathi+HrushikeshMindhe+RutujaNarsingh,7/4/2025,Momo photo editor,EN/25/A/0009,Photo Editor,Photo edit for Kulsum,,592.37,106.63,,699,Paid,EN-DC,,April,7/4/2025,,
84,4/4/2025,EN/AD/25-0076,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,7/4/2025,Ligionest Technologies Pvt Ltd.,EN/25/A/0012,IT,DCP-B7640DWB Brother Printer for Pune office,613,19600,3528,,23128,Paid,EN- Cheque - NEFT,,April,7/4/2025,,
85,4/4/2025,EN/AD/25-0077,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,4/4/2025,Aisensy,EN/25/C/0004,Subscription,Whatsapp Marketing for reraeasy,20436159,6000,1080,,7080,Paid,EN-DC,,April,4/4/2025,,
86,7/4/2025,EN/AD/25-0078,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,7/4/2025,Track On (SR International),EN/24/B/0005,Courier,Courier services from 01/03/2025 to 31/03/2025,11,"10,990",,,"10,990",Paid,EN-IMPS,,April,7/4/2025,,
87,7/4/2025,EN/AD/25-0079,Envision Next,Vedant Atawane,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,7/4/2025,Monthly Reimbursement,-,-,Monthly Reimbursement,-,30471,,,30471,Paid,EN-IMPS,,April,7/4/2025,,
88,8/4/2025,EN/AD/25-0080,Envision Next,Rahul Jaiswal,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,8/4/2025,Aisensy,EN/25/C/0004,Subscription,Whatsapp Marketing for reraeasy,20437752,5000,900,,5900,Paid,EN-DC,,April,8/4/2025,,
89,9/4/2025,EN/AD/25-0081,Envision Next,Shivanshu Tripathi,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,11/4/2025,Aadya Enterprises,EN/24/A/003,CCD,Service and Maintenance (Jan+March bill),"24-25/606, 743",4000,720,,4720,Paid,EN-IMPS,,April,16/4/2025,,
90,9/4/2025,EN/AD/25-0082,Envision Next,Nitin Panicker,ShivanshuTripathi+RutujaNarsingh+ShantanuKuchya,9/4/2025,Freelancer,EN/25/D/0013,Service,Data Scraping,10831191,10551.9,,,10551.9,Paid,EN-IMPS,Reimbursed to Gaurav Rajpal,April,9/4/2025,,
